date,identifier,product,company_name,company_twitter
2019-05-10T00:00:00Z,FOXNEWSW_20190510_100000_FOX__Friends,usaa,usaa,usaa
2019-05-10T00:00:00Z,FOXNEWSW_20190510_030000_Fox_News__Night_With_Shannon_Bream,geico,geico,geico
2019-05-10T00:00:00Z,FOXNEWSW_20190510_020000_The_Ingraham_Angle,fisher investments,fisher investments,fisherinvest
2019-05-10T00:00:00Z,FOXNEWSW_20190510_060000_The_Ingraham_Angle,fisher investments,fisher investments,fisherinvest
2019-05-10T00:00:00Z,FOXNEWSW_20190510_090000_Fox_and_Friends_First,expedia,expedia,expedia
2019-05-10T00:00:00Z,FOXNEWSW_20190510_050000_Hannity,essilor,essilor,essilor
2019-05-10T00:00:00Z,FOXNEWSW_20190510_020000_The_Ingraham_Angle,trulicity,eli lilly,lillypad
2019-05-10T00:00:00Z,FOXNEWSW_20190510_060000_The_Ingraham_Angle,trulicity,eli lilly,lillypad
2019-05-10T00:00:00Z,FOXNEWSW_20190510_080000_Fox_and_Friends_First,custom ink,custom ink,customink
2019-05-10T00:00:00Z,FOXNEWSW_20190510_090000_Fox_and_Friends_First,badda boom,choice hotels,choicehotels
2019-05-10T00:00:00Z,FOXNEWSW_20190510_040000_Tucker_Carlson_Tonight,chevron,chevron,chevron
2019-05-10T00:00:00Z,FOXNEWSW_20190510_030000_Fox_News__Night_With_Shannon_Bream,otezla,celgene,celgene
2019-05-10T00:00:00Z,FOXNEWSW_20190510_030000_Fox_News__Night_With_Shannon_Bream,humira,abbvie,abbvie